"","country","iso3c","date","confirmed","deaths","recovered","soc_dist","mov_rest","pub_health","gov_soc_econ","lockdown","apple_mtr_driving","apple_mtr_walking","apple_mtr_transit","gcmr_retail_recreation","gcmr_grocery_pharmacy","gcmr_parks","gcmr_transit_stations","gcmr_workplaces","gcmr_residential","gtrends_score","gtrends_country_score","region","income","population","land_area_skm","pop_density","pop_largest_city","life_expectancy","gdp_capita","timestamp","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","lat","long","economy","oecs","confirmed_logratio","confirmed_per_100k","deaths_per_100k","mortality_rate"
"1","Antigua and Barbuda","ATG",2020-01-22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"2","Antigua and Barbuda","ATG",2020-01-23,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"3","Antigua and Barbuda","ATG",2020-01-24,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"4","Antigua and Barbuda","ATG",2020-01-25,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"5","Antigua and Barbuda","ATG",2020-01-26,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"6","Antigua and Barbuda","ATG",2020-01-27,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"7","Antigua and Barbuda","ATG",2020-01-28,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"8","Antigua and Barbuda","ATG",2020-01-29,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"9","Antigua and Barbuda","ATG",2020-01-30,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
"10","Antigua and Barbuda","ATG",2020-01-31,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-16 09:07:06,22.0810917475022,69.1190827326922,8.79982551980558,"17.1175","-61.8456","Service Based","OECS Member State",NA,0,0,NA
